"L_Ankle,""L_Elbow"",""L_Hip"",""L_knee"",""L_Wrest"",""Neck"",""Noze"",""R_Ankle"",""R_Elbow"",""R_Hip"",""R_Knee"",""R_Sholder"",""L_Sholder"",""R_Wrest"""

"(-1.7539094686508179, -4.131280422210693),""(-1.0877439975738525, -0.05904386192560196)"",""(-1.132854700088501, -0.8406177759170532)"",""(-1.5166163444519043, -2.533051013946533)"",""(-0.13611872494220734, -0.27527594566345215)"",""(-0.9761996269226074, 0.9939546585083008)"",""(-0.26862114667892456, 1.2564277648925781)"",""(-1.3788214921951294, -4.378851413726807)"",""(-1.6141510009765625, -0.02905850112438202)"",""(-1.3819160461425781, -0.8635566234588623)"",""(-1.1961777210235596, -2.5580697059631348)"",""(-1.3180043697357178, 0.9602043628692627)"",""(-0.7396119832992554, 0.9602043628692627)"",""(-0.47222089767456055, -0.06962031126022339)"""
"(-1.7539094686508179, -4.131280422210693),""(-1.080407977104187, -0.05919669568538666)"",""(-1.1328563690185547, -0.8405510783195496)"",""(-1.5137676000595093, -2.53241229057312)"",""(-0.13434354960918427, -0.27463802695274353)"",""(-0.975642204284668, 0.9938012957572937)"",""(-0.272258996963501, 1.2579920291900635)"",""(-1.3687236309051514, -4.367373943328857)"",""(-1.6135703325271606, -0.02905850112438202)"",""(-1.3814613819122314, -0.8634868264198303)"",""(-1.196319818496704, -2.5578954219818115)"",""(-1.3171113729476929, 0.9599578380584717)"",""(-0.738433301448822, 0.9599578380584717)"",""(-0.46429866552352905, -0.0618218332529068)"""
"(-1.7539094686508179, -4.131280422210693),""(-1.0596753358840942, -0.059628624469041824)"",""(-1.1328675746917725, -0.8403566479682922)"",""(-1.5061293840408325, -2.5306472778320312)"",""(-0.12798264622688293, -0.2701725661754608)"",""(-0.9740906357765198, 0.9933742880821228)"",""(-0.2815072536468506, 1.262886643409729)"",""(-1.3705878257751465, -4.361739635467529)"",""(-1.6102039813995361, -0.02905850112438202)"",""(-1.380149483680725, -0.8632827997207642)"",""(-1.1967368125915527, -2.5573856830596924)"",""(-1.3146107196807861, 0.9592676162719727)"",""(-0.7351330518722534, 0.9592676162719727)"",""(-0.4799993932247162, -0.07190462946891785)"""
"(-1.7539094686508179, -4.131280422210693),""(-1.0274602174758911, -0.06029977276921272)"",""(-1.1328983306884766, -0.8400430679321289)"",""(-1.495064377784729, -2.5279836654663086)"",""(-0.11548300832509995, -0.2580520212650299)"",""(-0.9717255234718323, 0.9927234649658203)"",""(-0.29386791586875916, 1.271414041519165)"",""(-1.37539541721344, -4.358251094818115)"",""(-1.6016149520874023, -0.02905850112438202)"",""(-1.3780581951141357, -0.8629527688026428)"",""(-1.197414517402649, -2.556558847427368)"",""(-1.3107703924179077, 0.9582076072692871)"",""(-0.7300646901130676, 0.9582076072692871)"",""(-0.4726276397705078, -0.06404741108417511)"""
"(-1.7539094686508179, -4.131280422210693),""(-0.9856762290000916, -0.061170272529125214)"",""(-1.132957935333252, -0.8396187424659729)"",""(-1.4819347858428955, -2.524648666381836)"",""(-0.0952916294336319, -0.2344488501548767)"",""(-0.968727707862854, 0.9918984770774841)"",""(-0.30684301257133484, 1.2838767766952515)"",""(-1.3819690942764282, -4.356285572052002)"",""(-1.5853666067123413, -0.02905850112438202)"",""(-1.3752654790878296, -0.8625047206878662)"",""(-1.1983386278152466, -2.555434226989746)"",""(-1.3058584928512573, 0.9568518400192261)"",""(-0.7235820293426514, 0.9568518400192261)"",""(-0.45305293798446655, -0.043453216552734375)"""
"(-1.7539094686508179, -4.131280422210693),""(-0.9362372159957886, -0.06220025569200516)"",""(-1.133056402206421, -0.8390922546386719)"",""(-1.468103051185608, -2.520869731903076)"",""(-0.06625290215015411, -0.19095927476882935)"",""(-0.9652779698371887, 0.9909491539001465)"",""(-0.3183797299861908, 1.3004270792007446)"",""(-1.3891316652297974, -4.355222702026367)"",""(-1.5590218305587769, -0.02905850112438202)"",""(-1.3718491792678833, -0.8619470000267029)"",""(-1.1994948387145996, -2.554030418395996)"",""(-1.3001426458358765, 0.9552741646766663)"",""(-0.7160384654998779, 0.9552741646766663)"",""(-0.42508628964424133, -0.014588192105293274)"""
"(-1.7539094686508179, -4.131280422210693),""(-0.8810567855834961, -0.06334985047578812)"",""(-1.1332032680511475, -0.8384721279144287)"",""(-1.454931616783142, -2.516874313354492)"",""(-0.02880091220140457, -0.12641523778438568)"",""(-0.961557149887085, 0.9899252653121948)"",""(-0.3282061815261841, 1.320616364479065)"",""(-1.3957053422927856, -4.354442119598389)"",""(-1.5199077129364014, -0.031419362872838974)"",""(-1.3678873777389526, -0.861287534236908)"",""(-1.200869083404541, -2.5523667335510254)"",""(-1.2938910722732544, 0.9535486102104187)"",""(-0.707787811756134, 0.9535486102104187)"",""(-0.39253854751586914, 0.018081486225128174)"""
"(-1.7539094686508179, -4.131280422210693),""(-0.8220489025115967, -0.06457918137311935)"",""(-1.1334083080291748, -0.8377668261528015)"",""(-1.4437828063964844, -2.5128896236419678)"",""(0.01623280718922615, -0.04784286022186279)"",""(-0.9577458500862122, 0.988876461982727)"",""(-0.33649569749832153, 1.3438453674316406)"",""(-1.400512933731079, -4.353322505950928)"",""(-1.4644062519073486, -0.039413463324308395)"",""(-1.3634579181671143, -0.8605345487594604)"",""(-1.2024471759796143, -2.550461769104004)"",""(-1.2873715162277222, 0.9517491459846497)"",""(-0.6991834044456482, 0.9517491459846497)"",""(-0.357278972864151, 0.05498111993074417)"""
"(-1.7539094686508179, -4.131280422210693),""(-0.761127233505249, -0.06584838032722473)"",""(-1.133681058883667, -0.8369849324226379)"",""(-1.4348251819610596, -2.509103775024414)"",""(0.06801673769950867, 0.03773176670074463)"",""(-0.9540249705314636, 0.9878525733947754)"",""(-0.3434215486049652, 1.369515061378479)"",""(-1.4023771286010742, -4.351242542266846)"",""(-1.3886629343032837, -0.054408080875873566)"",""(-1.358638882637024, -0.8596962094306946)"",""(-1.2042148113250732, -2.5483345985412598)"",""(-1.28085196018219, 0.9499496221542358)"",""(-0.6905791163444519, 0.9499496221542358)"",""(-0.31341028213500977, 0.11610184609889984)"""
"(-1.7533305883407593, -4.131021976470947),""(-0.7002055048942566, -0.06711757928133011)"",""(-1.1340311765670776, -0.8361349105834961)"",""(-1.4272427558898926, -2.505549907684326)"",""(0.12478955835103989, 0.12469912320375443)"",""(-0.9505751729011536, 0.986903190612793)"",""(-0.3491571247577667, 1.3970266580581665)"",""(-1.400603175163269, -4.347752094268799)"",""(-1.2991271018981934, -0.06843648105859756)"",""(-1.3535079956054688, -0.8587805032730103)"",""(-1.2061578035354614, -2.546004056930542)"",""(-1.2746003866195679, 0.9482240080833435)"",""(-0.6823283433914185, 0.9482240080833435)"",""(-0.2530934512615204, 0.22632625699043274)"""
