"L_Ankle,""L_Elbow"",""L_Hip"",""L_knee"",""L_Sholder"",""L_Wrest"",""Neck"",""Noze"",""R_Ankle"",""R_Elbow"",""R_Hip"",""R_Knee"",""R_Sholder"",""R_Wrest"""

"(-1.8340305089950562, -4.131280422210693),""(-0.7205225229263306, -0.32611405849456787)"",""(-1.3997957706451416, -0.9756771922111511)"",""(-1.406273603439331, -2.533051013946533)"",""(-0.7642476558685303, 0.7230858206748962)"",""(0.08643974363803864, -0.3123690187931061)"",""(-0.9378861784934998, 0.7576885223388672)"",""(-0.1480686366558075, 1.0338692665100098)"",""(-1.337339162826538, -4.402034759521484)"",""(-0.9909871816635132, -0.41853582859039307)"",""(-1.575015664100647, -1.0106801986694336)"",""(-1.279190182685852, -2.564455270767212)"",""(-1.1737620830535889, 0.7095630764961243)"",""(0.07490193843841553, -0.31072527170181274)"""
"(-1.8325949907302856, -4.132940292358398),""(-0.7111431360244751, -0.3220991790294647)"",""(-1.3997135162353516, -0.9755648970603943)"",""(-1.4083513021469116, -2.5322601795196533)"",""(-0.7647574543952942, 0.7235676050186157)"",""(0.10175740718841553, -0.29338034987449646)"",""(-0.9383852481842041, 0.7577018141746521)"",""(-0.1505260020494461, 1.0451830625534058)"",""(-1.3455404043197632, -4.406012535095215)"",""(-0.9794239401817322, -0.41853582859039307)"",""(-1.5751335620880127, -1.0104312896728516)"",""(-1.2782676219940186, -2.5644564628601074)"",""(-1.173891305923462, 0.7094330191612244)"",""(0.0863625779747963, -0.29407718777656555)"""
"(-1.8286006450653076, -4.137317657470703),""(-0.684906005859375, -0.31068944931030273)"",""(-1.3994735479354858, -0.9752376675605774)"",""(-1.4137097597122192, -2.5301403999328613)"",""(-0.7662109136581421, 0.7249928712844849)"",""(0.13918961584568024, -0.24287493526935577)"",""(-0.9398272037506104, 0.7577948570251465)"",""(-0.15780679881572723, 1.0740548372268677)"",""(-1.3434901237487793, -4.406010627746582)"",""(-0.948750913143158, -0.41853582859039307)"",""(-1.575473427772522, -1.0097129344940186)"",""(-1.2756608724594116, -2.564465045928955)"",""(-1.174289345741272, 0.7090689539909363)"",""(0.11595452576875687, -0.24848708510398865)"""
"(-1.8225148916244507, -4.143506050109863),""(-0.6446624398231506, -0.2928372025489807)"",""(-1.3990867137908936, -0.974709689617157)"",""(-1.421036720275879, -2.527071475982666)"",""(-0.7684940695762634, 0.7273315191268921)"",""(0.18595516681671143, -0.170543372631073)"",""(-0.9421290755271912, 0.7580474615097046)"",""(-0.16977398097515106, 1.1128791570663452)"",""(-1.337902307510376, -4.405996799468994)"",""(-0.9049930572509766, -0.41853582859039307)"",""(-1.5760154724121094, -1.0085678100585938)"",""(-1.2716100215911865, -2.564488410949707)"",""(-1.1749714612960815, 0.7085096836090088)"",""(0.15649279952049255, -0.18048623204231262)"""
"(-1.8148058652877808, -4.150599479675293),""(-0.5932639241218567, -0.26949477195739746)"",""(-1.3985633850097656, -0.9739953875541687)"",""(-1.429019808769226, -2.5234322547912598)"",""(-0.7714931964874268, 0.7305533289909363)"",""(0.22927282750606537, -0.08607654273509979)"",""(-0.9452078342437744, 0.7585393190383911)"",""(-0.18629050254821777, 1.1540510654449463)"",""(-1.32962167263031, -4.405959129333496)"",""(-0.8541753888130188, -0.41853582859039307)"",""(-1.5767391920089722, -1.0070385932922363)"",""(-1.2663559913635254, -2.5645339488983154)"",""(-1.1759535074234009, 0.7077945470809937)"",""(0.20079246163368225, -0.0966058075428009)"""
"(-1.8059412240982056, -4.157693386077881),""(-0.5335617661476135, -0.24161452054977417)"",""(-1.397913932800293, -0.9731091260910034)"",""(-1.4363465309143066, -2.5196027755737305)"",""(-0.7750943899154663, 0.7346282601356506)"",""(0.2592896819114685, 0.0020999307744205)"",""(-0.9489805102348328, 0.7593502402305603)"",""(-0.2070290595293045, 1.1913576126098633)"",""(-1.3194928169250488, -4.405886173248291)"",""(-0.8023229241371155, -0.41853582859039307)"",""(-1.5776243209838867, -1.0051681995391846)"",""(-1.2601393461227417, -2.5646090507507324)"",""(-1.1772505044937134, 0.7069622278213501)"",""(0.24166853725910187, -0.0033771097660064697)"""
"(-1.7963889837265015, -4.163881778717041),""(-0.4684073030948639, -0.21014876663684845)"",""(-1.397148847579956, -0.9720652103424072)"",""(-1.4417049884796143, -2.5159618854522705)"",""(-0.7791836261749268, 0.7395260334014893)"",""(0.2778657376766205, 0.09062033891677856)"",""(-0.9533642530441284, 0.7605599164962769)"",""(-0.23090097308158875, 1.2241531610488892)"",""(-1.308359980583191, -4.405766010284424)"",""(-0.7533230781555176, -0.40348291397094727)"",""(-1.5786510705947876, -1.0029988288879395)"",""(-1.253200888633728, -2.56472110748291)"",""(-1.1788780689239502, 0.7060519456863403)"",""(0.2719360589981079, 0.09266862273216248)"""
"(-1.7866169214248657, -4.1682586669921875),""(-0.4006519913673401, -0.1760498285293579)"",""(-1.3962788581848145, -0.9708779454231262)"",""(-1.4437828063964844, -2.5128896236419678)"",""(-0.7836472392082214, 0.7452166676521301)"",""(0.28978925943374634, 0.17738398909568787)"",""(-0.9582759141921997, 0.7622482180595398)"",""(-0.25662729144096375, 1.25318443775177)"",""(-1.2970679998397827, -4.4055867195129395)"",""(-0.7025128602981567, -0.36933451890945435)"",""(-1.579798936843872, -1.0005735158920288)"",""(-1.2457810640335083, -2.564877510070801)"",""(-1.180851697921753, 0.7051026225090027)"",""(0.2844100594520569, 0.18500031530857086)"""
"(-1.777092695236206, -4.169919013977051),""(-0.33314722776412964, -0.14027008414268494)"",""(-1.395314335823059, -0.9695616364479065)"",""(-1.4437816143035889, -2.5103373527526855)"",""(-0.7883713245391846, 0.7516700029373169)"",""(0.2998484969139099, 0.2602902054786682)"",""(-0.9636326432228088, 0.764494776725769)"",""(-0.28292909264564514, 1.2791979312896729)"",""(-1.286461353302002, -4.405336380004883)"",""(-0.6430919766426086, -0.3326061964035034)"",""(-1.581047773361206, -0.997934877872467)"",""(-1.238120675086975, -2.5650856494903564)"",""(-1.1831867694854736, 0.704153299331665)"",""(0.28547802567481995, 0.26830077171325684)"""
"(-1.7682050466537476, -4.168970108032227),""(-0.2687443196773529, -0.10376184433698654)"",""(-1.3942655324935913, -0.9681306481361389)"",""(-1.4437729120254517, -2.507997512817383)"",""(-0.7932418584823608, 0.7588558793067932)"",""(0.3116958439350128, 0.3375728726387024)"",""(-0.9693514108657837, 0.7673795223236084)"",""(-0.308527410030365, 1.3029401302337646)"",""(-1.2772513628005981, -4.4045000076293945)"",""(-0.5758119821548462, -0.30212289094924927)"",""(-1.582377314567566, -0.9951254725456238)"",""(-1.230460286140442, -2.56535267829895)"",""(-1.185898780822754, 0.7032430171966553)"",""(0.28633320331573486, 0.34211012721061707)"""
